,question,hyperparameters,MAS workflow,ground truth,MAS answer
0,What was the Marshall Islands' gross domestic product in 2019?,"(2, 3)",datasets/chartqa/mas_clean.json,0.24,0.24 billion U.S. dollars
1,What was the Marshall Islands' gross domestic product in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,0.24,0.24 billion U.S. dollars
2,What was the Marshall Islands' gross domestic product in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,0.24,0.24 billion U.S. dollars
3,What was the Marshall Islands' gross domestic product in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,0.24,0.23 billion U.S. dollars
4,Is the sum of Germany and Asia pacific revenue bigger than rest of Europe including America?,"(2, 3)",datasets/chartqa/mas_clean.json,Yes,Yes
5,Is the sum of Germany and Asia pacific revenue bigger than rest of Europe including America?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,Yes,True
6,Is the sum of Germany and Asia pacific revenue bigger than rest of Europe including America?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,Yes,Yes
7,Is the sum of Germany and Asia pacific revenue bigger than rest of Europe including America?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,Yes,Cannot be determined
8,Which value represents the largest percentage of the graph?,"(2, 3)",datasets/chartqa/mas_clean.json,Favor,39%
9,Which value represents the largest percentage of the graph?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,Favor,Favor
10,Which value represents the largest percentage of the graph?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,Favor,Favor
11,Which value represents the largest percentage of the graph?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,Favor,Favor
12,How many divorces were there in South Korea in 2020?,"(2, 3)",datasets/chartqa/mas_clean.json,106500,"106,000"
13,How many divorces were there in South Korea in 2020?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,106500,"106,000"
14,How many divorces were there in South Korea in 2020?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,106500,"106,000"
15,How many divorces were there in South Korea in 2020?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,106500,"115,000"
16,What was the export value of Italian PDO white wines in the first semester of 2020?,"(2, 3)",datasets/chartqa/mas_clean.json,455,455 million euros
17,What was the export value of Italian PDO white wines in the first semester of 2020?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,455,455 million euros
18,What was the export value of Italian PDO white wines in the first semester of 2020?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,455,455 million euros
19,What was the export value of Italian PDO white wines in the first semester of 2020?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,455,455 million euros
20,How much did Senegal's real GDP increase in 2019?,"(2, 3)",datasets/chartqa/mas_clean.json,4.4,4.4%
21,How much did Senegal's real GDP increase in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,4.4,4.4%
22,How much did Senegal's real GDP increase in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,4.4,4.4%
23,How much did Senegal's real GDP increase in 2019?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,4.4,4.4%
24,What's the sum of the lowest two shares of respondents?,"(2, 3)",datasets/chartqa/mas_clean.json,15,15%
25,What's the sum of the lowest two shares of respondents?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,15,15%
26,What's the sum of the lowest two shares of respondents?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,15,15%
27,What's the sum of the lowest two shares of respondents?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,15,17
28,What is the average forecast on social network users in India for the next two years?,"(2, 3)",datasets/chartqa/mas_clean.json,435.3,435.3 million users
29,What is the average forecast on social network users in India for the next two years?,"(2, 3)",datasets/chartqa/mas_faulty_handoff.json,435.3,435.3 million
30,What is the average forecast on social network users in India for the next two years?,"(2, 3)",datasets/chartqa/mas_faulty_reasoning.json,435.3,411.5
31,What is the average forecast on social network users in India for the next two years?,"(2, 3)",datasets/chartqa/mas_faulty_perception.json,435.3,411.5 million
32,In what year did Playboy have the highest global circulation?,"(2, 3)",datasets/chartqa/mas_clean.json,1975,1975
