question,hyperparameters,MAS workflow,ground truth,MAS answer
What was the average annual total income per household of those in the top decile group?,"(2, 1)",datasets/chartqa/mas_clean.json,186600,"186,600 GBP"
What was the average annual total income per household of those in the top decile group?,"(2, 1)",datasets/chartqa/mas_faulty_handoff.json,186600,"£186,600"
What was the average annual total income per household of those in the top decile group?,"(2, 1)",datasets/chartqa/mas_faulty_reasoning.json,186600,"186,600 GBP"
What was the average annual total income per household of those in the top decile group?,"(2, 1)",datasets/chartqa/mas_faulty_perception.json,186600,"186,600 GBP"
Which gender is represented by the red color line?,"(2, 1)",datasets/chartqa/mas_clean.json,Male,Male
Which gender is represented by the red color line?,"(2, 1)",datasets/chartqa/mas_faulty_handoff.json,Male,Male
Which gender is represented by the red color line?,"(2, 1)",datasets/chartqa/mas_faulty_reasoning.json,Male,Male
Which gender is represented by the red color line?,"(2, 1)",datasets/chartqa/mas_faulty_perception.json,Male,Male
What's the average of two smallest bar?,"(2, 1)",datasets/chartqa/mas_clean.json,70.535,70.535
What's the average of two smallest bar?,"(2, 1)",datasets/chartqa/mas_faulty_handoff.json,70.535,70.535 million
What's the average of two smallest bar?,"(2, 1)",datasets/chartqa/mas_faulty_reasoning.json,70.535,70.535 million
What's the average of two smallest bar?,"(2, 1)",datasets/chartqa/mas_faulty_perception.json,70.535,70.535
What did 92 percent of the top 400 charities and NPOs use for their organization?,"(2, 1)",datasets/chartqa/mas_clean.json,Facebook,Facebook
What did 92 percent of the top 400 charities and NPOs use for their organization?,"(2, 1)",datasets/chartqa/mas_faulty_handoff.json,Facebook,Facebook
What did 92 percent of the top 400 charities and NPOs use for their organization?,"(2, 1)",datasets/chartqa/mas_faulty_reasoning.json,Facebook,Facebook
What did 92 percent of the top 400 charities and NPOs use for their organization?,"(2, 1)",datasets/chartqa/mas_faulty_perception.json,Facebook,Facebook
What's the percentage of revenue contributes by people under 44?,"(2, 1)",datasets/chartqa/mas_clean.json,40.3,40.3%
What's the percentage of revenue contributes by people under 44?,"(2, 1)",datasets/chartqa/mas_faulty_handoff.json,40.3,40.3%
What's the percentage of revenue contributes by people under 44?,"(2, 1)",datasets/chartqa/mas_faulty_reasoning.json,40.3,40.3%
What's the percentage of revenue contributes by people under 44?,"(2, 1)",datasets/chartqa/mas_faulty_perception.json,40.3,40.3%
